iter	RMSE
0	4.134840199
1	3.828232522
2	3.616855271
3	3.485711483
4	3.38504224255	3.30103528
6	3.235643496
7	3.194594732
8	3.15606074699	3.130144104
10	3.110074285
11	3.075054112112	3.056111756113	3.04204836
14	3.024258275
15	3.010261219
16	3.003591657
17	2.983541383
18	2.974364808
19	2.965637655
20	2.954203485
21	2.941855498
22	2.935397424
23	2.924363169
24	2.918342471
25	2.912120343
26	2.905284714
27	2.897117757
28	2.888707266
29	2.885865784
30	2.87930663
31	2.871394332
32	2.865590835
33	2.86267051
34	2.857250653
35	2.853426058
36	2.849746629
37	2.842590346
38	2.836278109
39	2.830421606
40	2.827148512
41	2.820888859
42	2.815693852
43	2.812066014
44	2.807101865
45	2.803953544
46	2.799470041
47	2.794101757
48	2.786739651
49	2.783905219
50	2.780505085
51	2.770931943552	2.76598359553	2.761501661
54	2.7588242
55	2.754430168
56	2.747779586
57	2.74147586
58	2.73596511
59	2.726565524
60	2.722766287
61	2.718801332
62	2.713327986
63	2.709690832
64	2.703348568
65	2.694963192
66	2.69108788
67	2.68850019
68	268	2.69630169	2.680642859
70	2.67816103
71	2.671560914
72	2.665751792
73	2.663236271
74	2.657168708
75	2.653316858
76	2.650061968
77	2.640800755
78	2.638603171
79	2.633845966
80	2.630829562
81	2.625628138
82	2.623461977
83	2.618344096
84	2.615674663
85	85	2.623541214
86	2.618008544
87	2.615206418
88	2.609474142
89	2.606418852
90	2.60392429
91	2.600277992
92	2.598621459
93	2.596461206
94	2.591925523
95	2.58844096	296	2.58331297	2.565560934
98	2.56388901
99	299	2.573974100	100	2.570892101	101	2.567770102	102	2.563594103103	2.5611037104104	2.559069910105	2.55653473106	2.536546782
107	2.5342530971108	2.53173363
109	2.541432629
110	2.538177703
111	2.535180994
112	2.532647405
113	2.529309154
114	2.527128511
115	2.522373188
116	2.521362237
117	2.516864086
118	2.513267917
119	2.510782853
120	2.506039021
121	2.504576754
122	2.50194439
123	2.497947967
124	2.495294135
1125	2.478931834
126	2.475672569
127	2.474162499
128	2.472684007
129	2.469912025
130	2.467051952
131	2.461687648
132	2.45786333
133	2.454373573
134	2.453745878
135	2.450449079
136	2.447940768
137	2.444242412
138	2.440058289
139	2.436775515
140	2.432968271
141	2.429085109
142	2.424536728
143	2.421138542
144	2.418633584
145	2.415951983
146	2.412254856
147	2.410568943
148	2.4079981731149	2.4053652511150	2.40292367
151	2.399229835
152	2.396219206
153	2.393459518
154	2.391125772
155	2.388783726
156	2.385750526
157	2.384785457
158	2.383351619
159	2.381174746
160	2.378704238
161	2.377940143
162	2.375679361
163	2.373974054
164	2.370573686
165	2.369029642
166	2.367090205
167	2.364516219
168	2.362254148
169	2.360963509
170	2.358594924
171	2.354945952
172	2.35385134
173	2.352294135
174	2.351044411
175	2.34808919
176	2.346645413
177	2.34446222
178	2.343310682
179	2.342695059
180	2.341902322
181	2.34072736
182	2.338811285
183	2.33546486
184	2.333183188
185	2.331904581
186	2.32912672
187	2.327283069
188	2.32188	2.3189	2.319189	2.33130651
190	2.32191	2.31191	2.32192	2.313086225
193	2.31022981
194	2.30194	2.3191195	2195	2.31746196	2.313845751
197	2.311679996
198	2.309940438
199	2.305984397
5641
